,equity
2016-10-19,2.458234612852273
2016-10-20,2.455314363807997
2016-10-21,2.4644923803138
2016-10-24,2.494112140129535
2016-10-25,2.48618577260102
2016-10-26,2.469289864111552
2016-10-27,2.46174484689746
2016-10-28,2.458331058021677
2016-10-31,2.462976553942179
2016-11-01,2.4692765596359716
2016-11-02,2.482137812791762
2016-11-03,2.487974724255445
2016-11-04,2.4927145660110415
2016-11-07,2.46508236112081
2016-11-08,2.455568314204196
2016-11-09,2.436062955302974
2016-11-10,2.431771207264812
2016-11-11,2.4876335939074843
2016-11-14,2.5225962777180477
2016-11-15,2.5304093760829978
2016-11-16,2.5302138623493566
2016-11-17,2.5450586002231472
2016-11-18,2.5585359341183613
2016-11-21,2.570450648340586
2016-11-22,2.5938893473569795
2016-11-23,2.6101011911701186
2016-11-25,2.6186954503519493
2016-11-28,2.618512274991001
2016-11-29,2.622426218073854
2016-11-30,2.610495277268745
2016-12-01,2.598877732542303
2016-12-02,2.605361297943431
2016-12-05,2.612693389581899
2016-12-06,2.640949379308559
2016-12-07,2.662616250295876
2016-12-08,2.6608300842219528
2016-12-09,2.6620326648204466
2016-12-12,2.6607594621914528
2016-12-13,2.670401448443453
2016-12-14,2.6482824490018038
2016-12-15,2.650034757698578
2016-12-16,2.645169094716747
2016-12-19,2.662490843053004
2016-12-20,2.685067590563058
2016-12-21,2.6675510256425676
2016-12-22,2.633686201353987
2016-12-23,2.6476990375232785
2016-12-27,2.659571267078005
2016-12-28,2.632323673170354
2016-12-29,2.6346590963691527
2016-12-30,2.6245387311900252
2017-01-03,2.6339516034269743
2017-01-04,2.6778766031860415
2017-01-05,2.6469736126931385
2017-01-06,2.637255668771991
2017-01-09,2.6199577404550722
2017-01-10,2.645029905281664
2017-01-11,2.649694625128335
2017-01-12,2.6292868835803023
2017-01-13,2.6483339706266804
2017-01-17,2.612377756059301
2017-01-18,2.6209295941608093
2017-01-19,2.599549998907039
2017-01-20,2.6129608089691208
2017-01-23,2.616416409107332
2017-01-24,2.65647931248628
2017-01-25,2.6613960627904296
2017-01-26,2.650727919908377
2017-01-27,2.6416115338061994
2017-01-30,2.63304195533503
2017-01-31,2.637453377597707
2017-02-01,2.6334557774848935
2017-02-02,2.634826652461774
2017-02-03,2.6750887737412428
2017-02-06,2.654957713101508
2017-02-07,2.6432310467002904
2017-02-08,2.638540201202344
2017-02-09,2.6756750921498482
2017-02-10,2.6960017910785172
2017-02-13,2.7030379102108877
2017-02-14,2.7120283246289114
2017-02-15,2.7282504964682395
2017-02-16,2.720628058927263
2017-02-17,2.7188691037014454
2017-02-21,2.740172801158392
2017-02-22,2.728055156408404
2017-02-23,2.7118329845690754
2017-02-24,2.709878391054323
2017-02-27,2.736263912357986
2017-02-28,2.731923978640645
2017-03-01,2.7705415218796796
2017-03-02,2.75227658870281
2017-03-03,2.758538823067331
2017-03-06,2.754363867442423
2017-03-07,2.754363867442423
2017-03-08,2.757495084161104
2017-03-09,2.7554008491309374
2017-03-10,2.766983537286357
2017-03-13,2.7642225545019947
2017-03-14,2.7603995708746987
2017-03-15,2.7844395336987753
2017-03-16,2.7825422450030435
2017-03-17,2.77579736600013
2017-03-20,2.778326655422614
2017-03-21,2.795134357368859
2017-03-22,2.8012070726299187
2017-03-23,2.7978612331019526
2017-03-24,2.7976413301737884
2017-03-27,2.799653661822854
2017-03-28,2.81677175671747
2017-03-29,2.8298242673433083
2017-03-30,2.8345317516018405
2017-03-31,2.8326060516325784
2017-04-03,2.8308942094930662
2017-04-04,2.8353875094213445
2017-04-05,2.833853127519024
2017-04-06,2.8353560996466647
2017-04-07,2.8338531275190237
2017-04-10,2.8349268662725184
2017-04-11,2.822686834268998
2017-04-12,2.8113059243318985
2017-04-13,2.8001396310818722
2017-04-17,2.8233310119892816
2017-04-18,2.8271834266100613
2017-04-19,2.810952146822236
2017-04-20,2.810458144226974
2017-04-21,2.8151483932765444
2017-04-24,2.849127381617682
2017-04-25,2.869727090641754
2017-04-26,2.865692049320883
2017-04-27,2.882893794701311
2017-04-28,2.887990740166776
2017-05-01,2.8863468841472057
2017-05-02,2.889880497293604
2017-05-03,2.8851386491330677
2017-05-04,2.8673285008992675
2017-05-05,2.8702996759220647
2017-05-08,2.866539788450697
2017-05-09,2.8635973361461544
2017-05-10,2.8656262889473534
2017-05-11,2.8637852327893794
2017-05-12,2.8702051487015843
2017-05-15,2.8793166452477483
2017-05-16,2.8913276421340415
2017-05-17,2.929187802978252
2017-05-18,2.9167957482522606
2017-05-19,2.9291208753286324
2017-05-22,2.9537711294813755
2017-05-23,2.956746137792804
2017-05-24,2.9703462221095616
2017-05-25,2.9956339548824977
2017-05-26,3.0009464928851624
2017-05-30,3.0034964073659336
2017-05-31,3.0024338349150836
2017-06-01,3.0141214833712624
2017-06-02,3.048546950119607
2017-06-05,3.0448726993536734
2017-06-06,3.0448258388579297
2017-06-07,3.044816254888788
2017-06-08,3.043159162885548
2017-06-09,3.0394325508312154
2017-06-12,3.038836928588709
2017-06-13,3.0635004398488546
2017-06-14,3.0695544343826575
2017-06-15,3.0638969952985513
2017-06-16,3.0423153622144485
2017-06-19,3.093186066461471
2017-06-20,3.068961921581937
2017-06-21,3.099352151335094
2017-06-22,3.098471090052334
2017-06-23,3.1103630651846235
2017-06-26,3.095828578256903
2017-06-27,3.0757543066137725
2017-06-28,3.1200980581164526
2017-06-29,3.10056916246017
2017-06-30,3.095736166827709
2017-07-03,3.121658628420517
2017-07-05,3.1104547134517717
2017-07-06,3.056633082314664
2017-07-07,3.086290070495157
2017-07-10,3.0728895526425495
2017-07-11,3.0818961943160543
2017-07-12,3.105621717819311
2017-07-13,3.1082581105679106
2017-07-14,3.1135302256537303
2017-07-17,3.1207797191024214
2017-07-18,3.112651651541323
2017-07-19,3.1436266684932708
2017-07-20,3.1458232713771324
2017-07-21,3.1315441794121184
2017-07-24,3.135937720385531
2017-07-25,3.1644962395212484
2017-07-26,3.1469217404219076
2017-07-27,3.1269307435063367
2017-07-28,3.1185831162185593
2017-07-31,3.1086972300212685
2017-08-01,3.114628694698505
2017-08-02,3.0805781655446
