strategy_name,agent_id,file_path,status,sharpe,win_rate,max_drawdown,profit_factor,total_return,total_trades,duration_sec,error,pair
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,3.6997,0.4643,0.0005,2.3742,0.0019,28,3.174,,ETH/USDT
crypto_whale_social_divergence_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_whale_social_divergence_v1.py,failed,0.8416,0.4653,0.0029,1.1919,0.0021,144,1.916,,ETH/USDT
crypto_funding_flow_trend_router_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_funding_flow_trend_router_v1.py,passed,3.3578,0.5125,0.0059,1.9428,0.008,80,1.771,,ETH/USDT
crossasset_risk_triad_rotation_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_risk_triad_rotation_v1.py,failed,-0.8778,0.4234,0.0074,0.838,-0.0027,137,3.766,,ETH/USDT
crossasset_spxbtc_residual_momentum_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_spxbtc_residual_momentum_v1.py,failed,-1.1663,0.3941,0.0076,0.7837,-0.007,269,3.14,,ETH/USDT
crypto_governance_social_regime_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_governance_social_regime_v1.py,failed,0.5294,0.4206,0.0058,1.1072,0.0014,126,2.07,,ETH/USDT
crypto_mtf_impulse_alignment_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_mtf_impulse_alignment_v1.py,passed,3.001,0.5352,0.007,1.7997,0.0097,142,1.742,,ETH/USDT
crypto_dxy_funding_squeeze_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_dxy_funding_squeeze_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,4.288,,ETH/USDT
crypto_vix_liquidation_panicfade_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_vix_liquidation_panicfade_v1.py,failed,2.0492,0.4091,0.001,1.4636,0.0012,22,3.479,,ETH/USDT
crypto_flow_whale_breakout_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_flow_whale_breakout_v1.py,passed,11.0273,0.6667,0.0,41.2902,0.0011,3,1.915,,ETH/USDT
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,6.5132,0.5238,0.0,4.051,0.0002,21,3.425,,SOL/USDT
crypto_whale_social_divergence_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_whale_social_divergence_v1.py,passed,2.5342,0.4627,0.0001,1.6648,0.0003,134,1.984,,SOL/USDT
crypto_funding_flow_trend_router_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_funding_flow_trend_router_v1.py,failed,1.8245,0.4452,0.0001,1.5149,0.0002,155,1.792,,SOL/USDT
crossasset_risk_triad_rotation_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_risk_triad_rotation_v1.py,passed,1.9284,0.4545,0.0002,1.4703,0.0003,132,3.906,,SOL/USDT
crossasset_spxbtc_residual_momentum_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_spxbtc_residual_momentum_v1.py,failed,-0.5425,0.4129,0.0004,0.899,-0.0001,264,4.382,,SOL/USDT
crypto_governance_social_regime_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_governance_social_regime_v1.py,failed,1.2538,0.3975,0.0002,1.2775,0.0002,161,2.179,,SOL/USDT
crypto_mtf_impulse_alignment_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_mtf_impulse_alignment_v1.py,failed,2.7199,0.4213,0.0002,1.7222,0.0005,197,1.542,,SOL/USDT
crypto_dxy_funding_squeeze_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_dxy_funding_squeeze_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,4.31,,SOL/USDT
crypto_vix_liquidation_panicfade_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_vix_liquidation_panicfade_v1.py,failed,-9.8559,0.3684,0.0001,0.1875,-0.0001,19,3.889,,SOL/USDT
crypto_flow_whale_breakout_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_flow_whale_breakout_v1.py,failed,4.0964,0.3333,0.0001,1.9011,0.0001,9,1.947,,SOL/USDT
