Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-03-12T04:00:00.000Z,258.6600036621,258.950012207,254.1799926758,255.7599945068,40794000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-13T04:00:00.000Z,255.4799957275,256.3299865723,249.5200042725,250.1199951172,36930000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-16T04:00:00.000Z,252.1100006104,253.8899993896,249.8800048828,252.8200073242,32074200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-17T04:00:00.000Z,252.9600067139,255.1300048828,252.1799926758,254.2299957275,32361600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-18T04:00:00.000Z,252.6300048828,254.9400024414,249.0,249.9400024414,35757900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-19T04:00:00.000Z,249.3999938965,251.8300018311,247.3000030518,248.9600067139,34864100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-20T04:00:00.000Z,247.9799957275,249.1999969482,246.0,247.9900054932,88331100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-23T04:00:00.000Z,253.9700012207,254.6000061035,250.2799987793,251.4900054932,40546100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-24T04:00:00.000Z,250.3500061035,254.8300018311,249.5500030518,251.6399993896,45152300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-25T04:00:00.000Z,254.1000061035,255.0,251.6000061035,252.6199951172,28476700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-26T04:00:00.000Z,252.1199951172,257.0,250.7700042725,252.8899993896,41796700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-27T04:00:00.000Z,253.8999938965,255.4900054932,248.0700073242,248.8000030518,47900000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-30T04:00:00.000Z,250.0700073242,250.8699951172,245.5099945068,246.6300048828,39446200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-31T04:00:00.000Z,247.9100036621,255.4799957275,247.1000061035,253.7899932861,49598100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-01T04:00:00.000Z,254.0800018311,256.1799926758,253.3300018311,255.6300048828,40059400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-02T04:00:00.000Z,254.1999969482,256.1300048828,250.6499938965,255.9199981689,31289400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-06T04:00:00.000Z,256.5100097656,262.1600036621,256.4599914551,258.8599853516,29329900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-07T04:00:00.000Z,256.1600036621,256.200012207,245.6999969482,253.5,62148000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-08T04:00:00.000Z,258.450012207,259.75,256.5299987793,258.8999938965,41032800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-09T04:00:00.000Z,259.0,261.1199951172,256.0700073242,260.4899902344,28121600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-10T04:00:00.000Z,259.9800109863,262.1900024414,259.0199890137,260.4800109863,31291500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-13T04:00:00.000Z,259.7300109863,260.1799926758,256.6600036621,259.200012207,36234700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-14T04:00:00.000Z,259.25,261.9299926758,257.1900024414,258.8299865723,48370700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-15T04:00:00.000Z,258.1600036621,266.5599975586,257.8099975586,266.4299926758,49913500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-16T04:00:00.000Z,266.799987793,267.1600036621,261.2699890137,263.3999938965,43323100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-17T04:00:00.000Z,266.9599914551,272.299987793,266.7200012207,270.2300109863,61436200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-20T04:00:00.000Z,270.3299865723,274.2799987793,270.2900085449,273.049987793,36590200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-21T04:00:00.000Z,271.5,272.799987793,265.3999938965,266.1700134277,50209800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-22T04:00:00.000Z,267.8200073242,273.7399902344,266.8699951172,273.1700134277,43249200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-23T04:00:00.000Z,275.049987793,275.7699890137,271.6499938965,273.4299926758,33399600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-24T04:00:00.000Z,272.7600097656,273.0599975586,269.6499938965,271.0599975586,38157100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-27T04:00:00.000Z,266.0899963379,268.3599853516,265.0700073242,267.6099853516,41466800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-28T04:00:00.000Z,272.3399963379,273.2300109863,268.6600036621,270.7099914551,40018900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-29T04:00:00.000Z,267.549987793,271.0400085449,267.0400085449,270.1700134277,30047900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-04-30T04:00:00.000Z,270.5,276.0,268.1400146484,271.3500061035,91848200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-05-01T04:00:00.000Z,278.8599853516,287.2200012207,278.3699951172,280.1400146484,79844600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
