Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-26T05:00:00.000Z,95.2659520754,95.2857025791,95.1079857087,95.2165908813,3491500,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-29T05:00:00.000Z,95.3252020266,95.3745632238,95.2264645671,95.3548202515,5034600,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-30T05:00:00.000Z,95.2165795279,95.3350524057,95.1770860578,95.256072998,4108600,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-31T05:00:00.000Z,95.1178567439,95.2462124247,94.9302721477,94.9401473999,6802100,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-02T05:00:00.000Z,95.0684877325,95.0684877325,94.8512773975,94.8611526489,6611800,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-05T05:00:00.000Z,95.0092604234,95.1573515454,94.9500164419,95.1474838257,8693200,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-06T05:00:00.000Z,95.0290004131,95.0981121121,94.8809017631,95.0783691406,12834100,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-07T05:00:00.000Z,95.2955589356,95.3251846876,95.1178420863,95.256072998,7990900,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-08T05:00:00.000Z,95.0092581853,95.0882376043,94.9598894574,94.9697647095,6931700,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-09T05:00:00.000Z,94.9401457426,95.157348559,94.8512835396,95.0783691406,10277300,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-12T05:00:00.000Z,94.9302664213,95.078365065,94.9006481991,94.9598846436,6360600,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-13T05:00:00.000Z,95.1178550835,95.1474808396,94.9796316855,95.0783691406,7622500,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-14T05:00:00.000Z,95.1573526982,95.3745630567,95.1474849783,95.2758331299,7331200,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-15T05:00:00.000Z,95.2857042376,95.295571957,95.0586186366,95.0783691406,6172500,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-16T05:00:00.000Z,95.0092557665,95.0388739895,94.6933155006,94.7130584717,11979300,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-20T05:00:00.000Z,94.3872518237,94.5057322593,94.3181401194,94.337890625,13607700,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-21T05:00:00.000Z,94.4464857736,94.6241951092,94.3477483215,94.5847091675,11969000,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-22T05:00:00.000Z,94.4859821501,94.6439560649,94.4366209512,94.5748443604,10209500,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-23T05:00:00.000Z,94.6143304505,94.7525538488,94.5353434993,94.7328033447,8147500,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-26T05:00:00.000Z,94.8809079675,94.940151951,94.8216715167,94.8710327148,6803800,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-27T05:00:00.000Z,94.8117971117,94.930277547,94.7328101548,94.7624359131,9857200,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-28T05:00:00.000Z,94.7031841334,94.7328023566,94.515599542,94.6834411621,17032400,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-29T05:00:00.000Z,94.5847056955,94.8710201919,94.5649551928,94.7821655273,11049100,0.0,0.0,0.0,IEF,NA,NA,USD
2026-01-30T05:00:00.000Z,94.7722997342,94.8414114355,94.6933203131,94.7229385376,8238500,0.0,0.0,0.0,IEF,NA,NA,USD
2026-02-02T05:00:00.000Z,94.7645392323,94.7942540912,94.5367202759,94.5367202759,8987100,0.312,0.0,0.0,IEF,NA,NA,USD
2026-02-03T05:00:00.000Z,94.4871801277,94.6654768188,94.467372743,94.6258544922,7313800,0.0,0.0,0.0,IEF,NA,NA,USD
2026-02-04T05:00:00.000Z,94.5466113146,94.7051006235,94.5069965445,94.606048584,7268600,0.0,0.0,0.0,IEF,NA,NA,USD
2026-02-05T05:00:00.000Z,94.8933100656,95.1904662005,94.8041579351,95.1607513428,12086800,0.0,0.0,0.0,IEF,NA,NA,USD
2026-02-06T05:00:00.000Z,95.2102811439,95.2201810583,95.0121694967,95.1607513428,7759900,0.0,0.0,0.0,IEF,NA,NA,USD
